id|groupe|nom|ministère_interrogé|rubrique|titre|date|question
676|Démocrate (MoDem et Indépendants)|M. Jimmy Pahun|Transition écologique et cohésion des territoires|environnement|Lutte contre le trafic de viande de brousse par voies aériennes|09/08/2022|M. Jimmy Pahun alerte M. le ministre de la transition écologique et de la cohésion des territoires sur les enjeux liés à la lutte contre le trafic d'espèces sauvages et notamment contre le trafic de viande de brousse par voies aériennes. Ce trafic est classé parmi les quatre activités illégales les plus lucratives au monde, représente une des causes majeures d'érosion de la biodiversité et menace la sécurité sanitaire du pays. L'UICN considère donc que dans le cadre de la rédaction de la 3e stratégie nationale pour la biodiversité, le Gouvernement doit réaffirmer son engagement à lutter contre le trafic d'espèces. En effet, selon eux, aujourd'hui même si les agents des douanes et de l'OFB officient sur tout le territoire et réalisent de nombreux contrôles, cela reste insuffisant pour stopper le commerce illégal d'espèces sauvages. De même l'encadrement de la vente d'animaux en ligne instaurée par la loi visant à lutter contre la maltraitance animale et conforter le lien entre les animaux et les hommes promulguée le 30 novembre 2021 ne leur semble pas traiter cette problématique. Le Comité français de l'UICN - Union Internationale pour la Conservation de la Nature - et l'AFDPZ - Association Française des Parcs Zoologiques - sont porteurs de propositions d'actions visant à renforcer la lutte contre ce trafic par voies aériennes dont : bénéficier d'indicateurs de suivi des flux et des mesures d'impact des actions mises en œuvre, renforcer l'affichage des produits interdits au départ des vols internationaux, réduire de moitié les 2x23 kg de bagages autorisés sur les vols en provenance d'Afrique, responsabiliser les compagnies aériennes, développer la formation et la spécialisation des juges pour traiter les contentieux environnementaux comme des enjeux majeurs, relever le niveau de pénalisation du trafic illégal d'espèces au même niveau que celui du trafic de drogues ou d'armes, renforcer la formation et les moyens mis à la disposition des agents des douanes dans les aéroports et en particulier à Paris-Charles-de-Gaulle qui représente à lui seul plus de la moitié des enregistrements des saisies dans les aéroports français. Ainsi il lui demande quelles sont les actions menées par le Gouvernement contre ces trafics et s'il compte s'inspirer des propositions de l'UICN.
677|Rassemblement National|M. Serge Muller|Santé et prévention|établissements de santé|Crise des urgences de l'hôpital de Bergerac !|09/08/2022|M. Serge Muller interroge M. le ministre de la santé et de la prévention sur les moyens qu'il compte mettre en oeuvre pour répondre au manque de personnels aux urgences de l'hôpital de Bergerac. Le mardi 12 juillet 2022, la direction de l'hôpital a été contrainte de filtrer l'accueil aux urgences pendant plusieurs heures. Ainsi, les patients ne pouvaient pas se présenter spontanément à l'accueil et devaient obligatoirement appeler le 15 pour savoir s'ils étaient orientés ou non vers les urgences. Cela s'explique par un dramatique manque de personnels. Les urgences fonctionnent avec seulement six postes pourvus de médecins en équivalent temps-plein, contre 15 initialement prévus. Cela oblige même la direction à recourir à des intérimaires pour boucler son planning. Une telle situation s'est déjà produite à l'hôpital de Sarlat, par manque de médecins. Cette situation est particulièrement grave et met en danger la santé des Bergeracois et de l'ensemble des habitants du secteur. Il est urgent de redonner à tous les Bergeracois un hôpital public digne de ce nom, qui plus est lorsqu'on sait que le département de la Dordogne est déjà touché de plein fouet par les déserts médicaux. Il lui demande de préciser les actions concrètes qu'il compte mettre en oeuvre pour résoudre ces graves problèmes de personnels et rétablir un fonctionnement normal de l'hôpital de Bergerac.
678|Démocrate (MoDem et Indépendants)|Mme Delphine Lingemann|Santé et prévention|établissements de santé|Engorgement du service des urgences du CHU de Clermont-Ferrand|09/08/2022|Mme Delphine Lingemann interroge M. le ministre de la santé et de la prévention sur les problématiques d'accès aux soins et de saturation des services hospitaliers d'urgence sur la métropole Clermont Auvergne. Mme la députée insiste sur la situation de désertification médicale sur la métropole Clermont Auvergne qui induit un goulot d'engorgement au niveau des urgences du CHU de Clermont-Ferrand. Dans le Puy-de-Dôme, entre 2020 et 2021, on enregistre une baisse de 6 % du nombre de médecins généralistes alors même que la population ne cesse de progresser. Au niveau de la métropole Clermont Auvergne, depuis 2020, l'activité des urgences adultes a progressé de 10 %. Aux urgences pédiatriques, la hausse est de 27 %. Avec 173 adultes en moyenne et jusqu'à 25 patients par heure, l'activité du CHU de Clermont-Ferrand est saturée. Ce rythme est en grande partie dû à la multiplication du recours automatique aux services des urgences qui met en tension ces structures. Il y a une réelle urgence à améliorer les parcours de soins afin de permettre une organisation des parcours plus efficiente, en favorisant, par exemple, une prise de contact avec le médecin traitant ou, s'il n'est pas disponible, les services du 15, qui constituent un pivot essentiel du soin non programmé. Les services sont d'autant plus mis à mal par le manque de gardes de nuit des médecins libéraux installés sur la métropole. A fortiori, avec un seul médecin de garde disponible pour réaliser les soins non programmés sur un bassin de près de 400 000 habitants, la situation de la métropole clermontoise est catastrophique. Dans le cadre d'une réunion avec Mme la députée, plusieurs pistes de réflexion ont été apportées par les médecins urgentistes eux-mêmes. Parmi ces dernières figurent la reconnaissance et la valorisation de la pénibilité du travail de nuit pour les soignants des urgences ou encore et le recours à d'autres professionnels de la santé (infirmiers, pharmaciens) pour effectuer certains soins. Par ailleurs, la réintroduction de l'obligation de garde des médecins libéraux, sous des conditions acceptables par toutes les parties prenantes qu'il conviendra de définir, constituerait une solution supplémentaire pour désengorger les services d'urgences. Mme la députée souhaite également évoquer avec M. le ministre le cas des patients âgés et souffrant de pathologies lourdes dans les Ehpad. À ce jour, ces patients sont suivis par un médecin traitant et un médecin coordinateur. Pour une meilleure prise en charge de ces patients, il serait judicieux de leur affecter un médecin référent, à savoir leur médecin coordinateur. La constitution d'équipes mobiles composées d'infirmiers permettrait aussi d'optimiser la rapidité des soins tout en désengorgeant les urgences hospitalières. Pour faire face aux déserts médicaux, qu'ils soient urbains ou ruraux, de nombreuses initiatives locales existent comme l'exercice coordonné sous toutes ses formes : maison de santé, communautés pluridisciplinaires en territoires de santé (CPTS), centre de soins non programmés, etc. Ces initiatives et organisations innovantes doivent être encouragées dans les territoires. Ainsi, elle souhaiterait connaître sa position sur les présentes propositions et savoir les pistes envisagées par le Gouvernement pour désengorger les services hospitaliers d'urgence de façon durable, en particulier sur le territoire de la métropole Clermont Auvergne.
679|Socialistes et apparentés|M. Inaki Echaniz|Santé et prévention|établissements de santé|Fermeture du service des urgences de l'hôpital d'Oloron|09/08/2022|M. Inaki Echaniz alerte M. le ministre de la santé et de la prévention sur les fermetures passées et futures du service des urgences de l'hôpital d'Oloron-Sainte-Marie. Depuis le mois de mai 2022, le service des urgences de l'hôpital d'Oloron-Sainte-Marie, situé sur un territoire rural, touristique et en manque de médecins, fonctionne en mode dégradé et subit des fermetures. La situation ne cesse de se détériorer puisque les urgences seront fermées durant tous les week-end du mois d'août 2022 et potentiellement en semaine, faute de médecins disponibles. L'hôpital sert une population d'environ 70 000 habitants, répartis sur un vaste territoire de piémont et de montagne, dans des communes parfois extrêmement isolées. Ces fermetures entraînent une mise en danger de la population de toute une circonscription, notamment en raison de la fréquence et de la simultanéité des urgences vitales, croissantes en période estivale où les évènements festifs et sportifs sont nombreux. En effet, le Haut-Béarn accueille de nombreux touristes pratiquant des activités à risque comme la randonnée, l'escalade ou les sports d'eaux vives. Le fonctionnement dégradé des urgences et les fermetures répétées ont aussi un impact sur les autres services de l'hôpital et les acteurs du territoire, comme les médecins de ville, déjà peu nombreux et les pompiers, qui doivent en conséquence véhiculer les patients sur de longues distances vers un hôpital plus éloigné, à quarante minutes des urgences d'Oloron. Cette situation engendre tension et épuisement des personnels hospitaliers et contribue à leur découragement et à des démissions. De plus, les annonces de fermetures par voie de presse ne font que créer de l'anxiété et de la colère chez la population et les soignants concernés. La mise en place d'une équipe paramédicale de médecine d'urgence (EPMU) le 30 juillet 2022, auquel n'est rattaché qu'un seul médecin, n'est pas suffisante pour assurer une prise en charge sécurisée des patients et répondre aux différentes sollicitations. Par ailleurs, elle ne constitue qu'une solution de court terme. Les territoires ruraux ont besoin de mesures concrètes et durables pour une véritable prise en charge médicale des habitants. Il interroge ainsi le Gouvernement sur les solutions qui pourraient être apportées pour préserver ces services d'urgence essentiels et éviter leurs fermetures inopinées.
680|Horizons et apparentés|M. Vincent Thiébaut|Santé et prévention|établissements de santé|Fin des contrats aidés dans les établissements de santé|09/08/2022|M. Vincent Thiébaut attire l'attention de M. le ministre de la santé et de la prévention sur l'impact de la fin des contrats aidés dans les établissements de santé. Ces aides à l'embauche ont permis aux établissements de santé de combler les manques de personnel dans leurs équipes. Ils ont joué un rôle essentiel pendant la pandémie de covid-19 et ont permis d'assurer une meilleure prise en charge des résidents. Les personnes embauchées grâce à ces contrats aidés avaient souvent pour mission d'assurer l'entretien des établissements ou accompagnaient la prise en charge directe des patients. Leur présence permettait d'assurer aux résidents des conditions de vie saines. La fin de ces contrats pèse sur le budget de ces établissements. Ces derniers ne peuvent pas toujours transformer ces contrats en CDD ou en CDI, car ils n'ont pas les moyens nécessaires. Les conséquences sont directes : une baisse de la qualité de la prise en charge et des conditions de travail des équipes qui subissent une forte tension. Il souhaiterait connaître les solutions envisagées, ou prévues, par le Gouvernement pour pallier les difficultés budgétaires et au manque de personnel dans les établissements de santé.
681|Rassemblement National|M. Matthieu Marchio|Santé et prévention|établissements de santé|Hôpital de Douai-Dechy - Urgences et SMUR|09/08/2022|M. Matthieu Marchio alerte M. le ministre de la santé et de la prévention sur la situation des urgences de l'hôpital de Douai-Dechy. Le fonctionnement des urgences pédiatriques et la permanence des soins de l'établissement ont déjà été affectés par le départ de pédiatres à partir du mois de juillet 2021. Si les urgences pédiatriques sont de nouveau ouvertes 24h/24h, c'est désormais la permanence des soins (PDS) au service d'accueil des urgences (SAU) et la ligne SMUR qui sont sous tension pour la période estivale 2022. Lors d'un échange avec la direction de l'établissement, M. le député a été informé que les urgences resteraient ouvertes et que la ligne SMUR serait pourvue. Il en prend note mais relève que les tensions restent cependant fortes en raison de lignes toujours vacantes. Malgré les efforts menés sur le recrutement de praticiens, ceux-ci ne seraient finalisés qu'en octobre 2022. Cette situation interroge quant à la capacité de l'établissement à assurer la permanence des soins dans de bonnes conditions pendant la période estivale. M. le député, tout en saluant le travail exceptionnel et le dévouement de l'ensemble des personnels de santé, appelle M. le ministre à agir face à cette situation inacceptable pour le territoire du Douaisis et ses habitants. Sous quel délai les praticiens nécessaires sur l'ensemble des lignes urgence et SMUR seront-ils recrutés ? Les maladies et les situations d'urgence ne prennent pas de vacances, même pendant la période estivale. Il aimerait connaître la réponse du Gouvernement à ce sujet.
682|Écologiste - NUPES|M. Charles Fournier|Santé et prévention|établissements de santé|La situation préoccupante des services hospitaliers de psychiatrie|09/08/2022|M. Charles Fournier attire l'attention de M. le ministre de la santé et de la prévention sur la situation très préoccupante des services psychiatriques dans les hôpitaux publics et les décisions de fermeture de lits qui continuent d'aggraver la situation. Considéré comme le parent pauvre de la médecine, la psychiatrie publique manque de moyens et d'effectifs. En France, il manque 30 % de psychiatres hospitaliers et les postes d'infirmiers non pourvus ont doublé entre avril 2022 (6 %) et 2019 (3 %). Le sous-effectif chronique des psychiatres et du personnel paramédical dans les hôpitaux publics pèse sur la prise en charge des patients dont le nombre a explosé ces dernières années. Le nombre d'usagers de la psychiatrie est passé de 1 million en 1997 à 2,3 millions en 2020. La crise sanitaire a accentué les besoins de prise en charge psychiatrique dans les hôpitaux, sans que les équipes de soin dans les services de psychiatrie soient renforcées à la hauteur de cette croissance. L'incapacité des structures à répondre à cette hausse de la demande psychiatrique conduit les directeurs d'hôpitaux à fermer des lits. Des patients graves sont condamnés à rentrer chez eux faute de prise en charge et de personnel soignant, alors que la France est un des pays européen au taux de suicide le plus élevé. Aujourd'hui, la psychiatrie dans le public met à disposition entre 50 et 55 lits pour 100 000 habitants. À ces difficultés structurelles s'ajoute la politique de réduction des coûts de l'hôpital public qui freine les investissements et les recrutements. Ainsi, dans cette logique, 80 lits en psychiatrie sur 250 lits supprimés sont prévus dans le nouveau CHRU de Tours. Le développement des offres en ambulatoire depuis le Ségur de la santé ne doit pas se faire au prix de l'hospitalisation complète. Si des lits ferment, c'est la santé publique qu'on en danger. Aussi, il souhaite savoir si, face à cette fermeture dramatique, le Gouvernement envisage d'augmenter le budget pour la psychiatrie publique, répondre aux difficultés de recrutement du secteur, rouvrir les lits fermés et geler la fermeture des lits dans les hôpitaux publics, en particulier dans les services psychiatriques du CHRU de Tours.
683|Démocrate (MoDem et Indépendants)|Mme Élodie Jacquier-Laforge|Santé et prévention|établissements de santé|Services d'urgence|09/08/2022|Mme Élodie Jacquier-Laforge alerte M. le ministre de la santé et de la prévention sur la situation actuelle des services d'urgence. En effet, des filtrages ont été mis en place notamment à Voiron et à Grenoble, induits par une pénurie de personnel. Alors que la période estivale oblige certaines structures hospitalières à tourner au ralenti, les établissements en Isère souffrent d'ores et déjà d'un manque de personnel. Cela affecte le fonctionnement des soins et notamment des urgences. Le CH de Voiron, entièrement neuf, ne peut pas accueillir tous les patients qui se présentent et, comme le préconise le ministère, instaure un filtrage pour rediriger les personnes. Certains établissements de santé restreignent ainsi l'accès à leurs infrastructures pour limiter le flux de patients. Selon une enquête de Samu-Urgences de France, 42 établissements de santé (sur 331) ont d'ores et déjà fermé leur service d'urgences la nuit, du fait d'un manque de personnel notamment dû à la période de vacances. Connaissant les difficultés du secteur au niveau national, Mme la Députée souhaiterait connaître les chiffres du ministère au sujet du filtrage aux accès des établissements. Elle souhaiterait connaître l'état des lieux de la situation hospitalière en Isère, en prenant en compte les données liés à la période estivale.
684|Renaissance|Mme Amélia Lakrafi|Europe et affaires étrangères|famille|Protection des droits parentaux à l'étranger|09/08/2022|Mme Amélia Lakrafi interroge Mme la ministre de l'Europe et des affaires étrangères sur un point de difficulté qui frappe de nombreux Français établis hors de France. Il s'agit de la perte des droits parentaux auxquels nos compatriotes - et au premier desquels des femmes - sont confrontés à la suite d'une séparation ou d'un divorce. Les Françaises qui se retrouvent dans ce cas de figure ne peuvent quitter le territoire de résidence avec leurs enfants sans risquer d'être accusées de déplacements illicites d'enfants. Dans leur pays de résidence et plus particulièrement dans les pays du Golfe, mais pas uniquement, elles se voient parfois totalement privées de leur droit de visite et de garde. En tant que députée des Français d'Afrique et du Moyen-Orient, elle est régulièrement saisie de ce type de situations extrêmement difficiles. Dans ce contexte, elle aimerait savoir si la France ne pourrait pas davantage jouer un rôle d'intermédiation, en particulier dans les pays avec lesquels elle entretient de bonnes relations, pour tenter de préserver un minimum de droit pour les compatriotes concernées.
685|La France insoumise - Nouvelle Union Populaire écologique et sociale|Mme Caroline Fiat|Santé et prévention|femmes|Protocole d'explantation des implants Essure|09/08/2022|Mme Caroline Fiat appelle l'attention de M. le ministre de la santé et de la prévention sur les protocoles de retrait des implants Essure. Mme la députée avait déjà interpellé le ministère de la santé en janvier 2019 pour que la France instaure un dispositif de contrôle des dispositifs médicaux digne de ce nom, sans attendre que les instances européennes ne se saisissent du problème. On apprend par l'association R. E.S.I.S.T. que, aujourd'hui encore, des chirurgiens-gynécologues ignorent la problématique Essure et notamment les effets indésirables potentiellement induits par ce dispositif. Des médecins, lors de la consultation, ne sont pas à l'écoute des femmes et contestent l'existence d'un lien entre les symptômes qu'elles décrivent et le dispositif Essure. C'est notamment le cas lorsque les examens complémentaires réalisés par les patientes (prises de sang, imageries...) se révèlent être normaux et que les médecins sont impuissants à poser un diagnostic. Des patientes se retrouvent dans une situation d'errance médicale, obligées de multiplier les consultations. Certaines d'entre elles se voient prescrire des traitements inadaptés. Il en résulte des souffrances physiques mais également psychologiques. Malgré l'existence d'un protocole strict d'explantation, publié par l'arrêté ministériel du 14 décembre 2018, de nombreuses femmes sont encore opérées sans respect de celui-ci, avec pour conséquences, des casses d'implants, qui, au-delà du fait de ne pas régler la problématique initiale, peuvent entraîner de multiples complications, survenant sur un état de santé déjà altéré. L'association R. E.S.I.S.T. a pu constater que, à de nombreuses reprises, aucun examen d'imagerie n'avait été prescrit, entraînant des échecs lors de la tentative d'explantation. Les femmes concernées sont alors contraintes de subir une, voire plusieurs autres interventions chirurgicales, afin d'extraire les fragments persistants, avec les risques que comportent ces opérations ainsi que l'anesthésie générale. Par ailleurs, certaines femmes opérées n'ont pas de consultation post-opératoire. D'autres ne reçoivent aucune prescription de soins post-opératoires. Enfin, certains chirurgiens ne délivrent pas de compte rendu opératoire et ce, malgré la demande des patientes. La situation est d'autant plus urgente que certaines techniques chirurgicales, qui constituent pourtant un risque important pour les femmes implantées, sont désormais pratiquées couramment. À titre d'exemple, la méthode Novasure (aussi appelée thermocoagulation de l'endomètre), est employée afin de traiter des effets indésirables d'ordre gynécologiques, notamment les ménorragies. D'après la notice du laboratoire BAYER 2017 P.20, cette méthode est contre-indiquée chez les patientes ayant été implantées. Or grâce à de nombreux témoignages, on a pu constater que cette contre-indication n'était souvent pas respectée. Elle lui demande donc ce qu'il entend faire pour que le protocole strict d'explantation soit appliqué et connu de tous les praticiens médicaux concernés.
686|La France insoumise - Nouvelle Union Populaire écologique et sociale|Mme Clémence Guetté|Comptes publics|finances publiques|Convention fiscale entre la France et la Principauté de Monaco|09/08/2022|Mme Clémence Guetté appelle l'attention de M. le ministre délégué auprès du ministre de l'économie, des finances et de la souveraineté industrielle et numérique, chargé des comptes publics, sur les plus de 100 millions d'euros versés chaque année par la France à la Principauté de Monaco. En effet, une convention fiscale datant de 1963 organise le versement d'une partie des recettes de la TVA à la Principauté de Monaco, pays le plus riche du continent. D'après les calculs du média Euractiv, fondés sur les documents législatifs du Conseil national monégasque, la France a versé à Monaco plus d'1,4 milliard d'euros en euros constants (1,5 milliard en euros 2021 à parité de pouvoir d'achat) depuis 2009. Aussi, grâce au versement annuel du contribuable français à la Principauté de Monaco, les comptes publics de cet État sont en excédent budgétaire de près de 3 millions d'euros, alors qu'il n'y existe ni impôt sur le revenu des personnes physiques, ni impôt sur le revenu des sociétés. M. le ministre délégué aux comptes publics déclarait dans un entretien au Figaro publié le 27 juillet 2022 que « le courage, ce n'est pas de trouver des taxes, mais de trouver des économies ». Mme la députée l'interroge donc sur les mesures qu'il compte mettre en place pour en finir avec cet « effort curieux et inconnu des contribuables français », selon les mots du rapport de Vincent Peillon et Arnaud Montebourg du 30 mars 2000 sur les obstacles au contrôle et à la répression de la délinquance financière et du blanchiment en Europe.
687|Renaissance|M. Lionel Royer-Perreaut|Santé et prévention|fonction publique hospitalière|Statut des ambulanciers de la fonction publique hospitalière|09/08/2022|M. Lionel Royer-Perreaut attire l'attention de M. le ministre de la santé et de la prévention sur le statut des ambulanciers de la fonction publique hospitalière. À la suite du Ségur de la santé, un travail de revalorisation de la profession a été initié, mais les représentants de la profession semblent s'inquiéter du calendrier et de certaines revendications. Sur le premier point, en début d'année, le ministre des solidarités et de la santé avait annoncé le passage de la profession dans la filière des soignants et la suppression du terme « conducteur » au profit du terme unique d'« ambulancier », pour marquer le changement de statut. M. le député souhaiterait donc avoir des précisions sur le calendrier de mise en place de ce changement de filière et de statut pour les ambulanciers. Sur le second point, un travail sur les compétences et la formation des ambulanciers a été entrepris. Il s'est incarné notamment à travers la réingénierie du diplôme d'État d'ambulancier et la publication du décret n° 2022-629 élargissant le champ des actes de soin pratiqués par les ambulanciers. En revanche, ceux-ci n'ont été intégrés ni à la catégorie active, ni à la catégorie B de la fonction publique. Il aimerait savoir s'il entend rouvrir ces sujets et travailler aux réformes qui permettraient aux ambulanciers d'intégrer les catégories active et B, selon leurs revendications.
688|Libertés, Indépendants, Outre-mer et Territoires|M. Stéphane Lenormand|Solidarités, autonomie et personnes handicapées|fonctionnaires et agents publics|Difficultés de recrutement d'AESH et d'AVS pour la rentrée scolaire 2022/2023|09/08/2022|M. Stéphane Lenormand interroge M. le ministre des solidarités, de l'autonomie et des personnes handicapées sur les difficultés de recrutement d'AESH et d'AVS pour la rentrée scolaire 2022/2023 et sur les conditions d'emplois de cette profession. En effet, leurs représentants dénoncent une dégradation drastique des conditions d'accompagnement des élèves en situation de handicap dans une école qui se veut pourtant « inclusive » : réduction du nombre d'heures d'accompagnement, discontinuité des prises en charge, précarité salariale. Alors qu'un accompagnant des élèves en situation de handicap (AESH) est indispensable pour ces élèves, leur nombre est continuellement insuffisant. Ces accompagnants apportent en effet une aide humaine qui répond à des besoins particuliers de l'élève liés à des déficiences motrices, sensorielles, intellectuelles, psychiques ou à une maladie invalidante. L'AESH contribue de ce fait à la réalisation du projet personnalisé de scolarisation de cet élève et permet notamment à celui-ci de développer sa capacité d'autonomie, de communication et d'expression. Par ailleurs, le nombre d'élèves en situation de handicap accueillis en milieu ordinaire ne cesse de croître et il dépasse, en 2021, les 400 000. Cela représente une hausse de 25 % depuis 2017. Quant au nombre d'accompagnants des élèves en situation de handicap (AESH), il a augmenté de 33 % sur l'ensemble du quinquennat. Malgré ces chiffres, l'ensemble des notifications des maisons départementales pour les personnes handicapées (MDPH) ne peuvent pas être satisfaites. Par exemple, la MDPH de Paris indique que sur l'année scolaire 2020-2021, il a manqué 300 AESH pour répondre à l'ensemble des notifications. Les conditions d'emploi des AESH ne sont pas non plus satisfaisantes, en dépit des évolutions récentes qui vont dans le bon sens (augmentation des salaires, possibilités de CDI au bout de 3 ans). Néanmoins, ils gagnent en moyenne 760 euros et seul 2 % des AESH travaillent à temps complet et 16 % en CDI. Sur ce sujet, le ministre a indiqué vouloir que « de véritables carrières d'AESH se dessinent et non plus des CDD », sans autre précision. C'est pourquoi alors que le rentrée 2022/2023 s'annonce toujours sous le signe de véritables difficultés pour ces élèves et leurs familles, il lui demande de faire connaître les éléments concrets de son chantier pour « l'école inclusive » et notamment sur les conditions de recrutement et d'emploi des AESH, pour que la scolarité des élèves en situation de handicap se fassent enfin dans les meilleures conditions.
689|Les Républicains|M. Jean-Jacques Gaultier|Transformation et fonction publiques|fonctionnaires et agents publics|Formation en santé mentale des agents de la fonction publique|09/08/2022|M. Jean-Jacques Gaultier attire l'attention de M. le ministre de la transformation et de la fonction publiques sur la nécessité de rendre obligatoire la formation aux premiers secours en santé mentale pour l'ensemble des services publics. Les agents de l’État en contact avec le public, sont aujourd'hui quotidiennement confrontés à des comportements déroutants, voire agressifs. Il est essentiel de les aider à réagir à des manifestations de troubles psychiques qui requièrent des réponses appropriées. Il lui demande en conséquence s'il serait possible d'envisager de faire suivre une formation en santé mentale aux agents de l'État en contact avec le public.
690|Horizons et apparentés|M. Vincent Thiébaut|Solidarités, autonomie et personnes handicapées|fonctionnaires et agents publics|Prise en compte de l'ancienneté en tant que contractuel en formation CAPEJS|09/08/2022|M. Vincent Thiébaut appelle l'attention de M. le ministre des solidarités, de l'autonomie et des personnes handicapées sur la prise en compte de l'ancienneté en tant que contractuel en formation CAPEJS (Certificat d'aptitude au professorat de l'enseignement des jeunes sourds) au moment de la titularisation dans le corps des professeurs d'enseignement général (PEG) des instituts nationaux de jeunes sourds (INJS) qui compte environ 135 agents. Par décisions de justice (Tribunaux de Bordeaux et de Strasbourg) rendues en faveur de 3 agents diplômés du CAPEJS titularisés en 2012, il a été mis en évidence que le ministère des solidarités et de la santé a comptabilisé de façon erronée les 2 années passées dans cette formation. En effet, il s'est basé sur la rémunération des agents (payés à 60 % d'un temps plein afin de prendre en compte certains frais de formation) et non sur la durée effective de service qui correspond à un temps plein. Conformément aux textes en vigueur, l'ancienneté en tant que contractuel de catégorie A est, au moment de la titularisation, reprise à 50 %. Ainsi, ces agents se sont vu appliquer une reprise à 30 % (50 % de 60 %) au lieu d'un taux à 50 % leur faisant perdre plus de 4 mois d'ancienneté (qui se répercutent à chaque avancement d'échelon et a donc une incidence financière, de promotion, de droits à la retraite...). Par ailleurs, le ministère n'a pas procédé à ce traitement avec l'ensemble des agents : certains agents titularisés au début des années 2000 ayant eu une prise en compte à 100 % de ces années. Également, il n'a jamais pris le soin d'informer les agents concernés ni des modalités de calculs appliqués dans ce cas de figure, ni des services pris en compte lors de leurs titularisations. Depuis 2018, il a pris la décision de rectifier les carrières des agents titularisés depuis 2014 créant une nouvelle iniquité de traitement. Certains agents n'ayant pas bénéficié de cette régularisation ont interpellé le ministère par le biais des représentants Force Ouvrière en CAP (Commission administrative paritaire). Or le ministère a indiqué qu'il ne réétudierait pas leurs situations et qu'il fallait qu'ils s'engagent dans une démarche juridique. À l'heure où les tribunaux sont débordés, où la médiation est préconisée, ces agents s'interrogent sur la réponse apportée par le ministère qui les contraint à s'engager dans une démarche de longue haleine et qui continue de les pénaliser alors qu'ils ne représentent au maximum que 30 personnes. Il souhaite connaître sa position sur le sujet.
691|Socialistes et apparentés|Mme Claudia Rouaux|Petites et moyennes entreprises, commerce, artisanat et tourisme|fonctionnaires et agents publics|Situation des agents du réseau des CMA|09/08/2022|Mme Claudia Rouaux appelle l'attention de Mme la ministre déléguée auprès du ministre de l'économie, des finances et de la souveraineté industrielle et numérique, chargée des petites et moyennes entreprises, du commerce, de l'artisanat et du tourisme, sur la situation des salariés des chambres des métiers et de l'artisanat (CMA) en raison d'une paupérisation croissante et d'un dialogue social mis en péril. Les CMA sont des établissements publics administratifs et la situation de leurs personnels est déterminée par un statut établi par une commission paritaire nationale issue de la loi de 1952 (CPN52) sur les chambres consulaires et présidée par le ministre de tutelle. Cette CPN 52 détermine également la valeur du point d'indice pour les agents des CMA. Alors que le Gouvernement a annoncé le même jour une revalorisation de 3,5 % du point d'indice des fonctionnaires, gelé depuis 5 ans, à compter du 1er juillet 2022, CMA France veut imposer une revalorisation du point d'indice des agents des CMA limitée à 2,5 % alors que depuis plus de onze ans, la valeur du point d'indice est bloquée. De plus le collège employeur exige de lier cette augmentation à un système opaque de primes individuelles distribuées sans contrôle à certains agents, alors que les primes statutaires ne sont souvent même pas consommées. Les agents du réseau des CMA et leurs représentants demandent, dans un contexte de forte inflation et de dégradation de leur pouvoir d'achat, une revalorisation de 3,5 % à l'instar de celle décidées pour les agents de la fonction publique. En effet, une étude du cabinet Arthur Hunt datant de 2020 a fait apparaître des rémunérations inférieures de 15 à 20 % à celle du marché général et le seul mécanisme de rattrapage de la perte du pouvoir d'achat est entravé chaque année par le collège employeur qui refuse d'appliquer automatiquement le taux GIPA qui paraît au Journal Officiel. Elle lui demande donc d'indiquer si le Gouvernement entend revaloriser le point d'indice des agents des CMA de manière identique à celui de la fonction publique. Elle lui demande également s'il entend automatiser le dispositif GIPA, l'image des fonctions publiques. Elle lui demande encore si une CPN 52 avec ces points uniques sera réunie au plus tôt et si elle entend recevoir prochainement une délégation des représentants des agents du réseau CMA France.
