id|groupe|nom|ministère_interrogé|rubrique|titre|date|question|question_clean
580|Les Républicains|M. Pierre Cordier|Intérieur et outre-mer|sécurité des biens et des personnes|Soutien aux sapeurs-pompiers volontaires et professionnels|02/08/2022|M. Pierre Cordier appelle l'attention de M. le ministre de l'intérieur et des outre-mer sur la nécessaire augmentation des moyens alloués à la lutte contre les incendies. Au cours des mois de juin et juillet 2022, plusieurs milliers d'hectares ont brûlé sur l'ensemble du territoire national, en Gironde, en Provence, mais aussi dans des territoires auparavant épargnés à l'instar de la Bretagne, de la Savoie, de la Manche ou des Ardennes. Les moyens aériens de la sécurité civile sont des outils stratégiques, essentiels pour gérer ces crises. Ils peuvent venir à bout des foyers difficiles voire impossibles d'accès par la route. Pourtant un rapport de la commission des finances du Sénat a récemment insisté sur le « nécessaire renforcement » des moyens aériens de la sécurité civile. De nombreux Dash et Canadairs sont actuellement immobilisés au sol pour des défauts mécaniques ou d'entretien. Certains appareils de 25 ans ne peuvent être remis à neuf, du fait de leur coût de réparation et du manque de pièces détachées. Le rachat de nouveaux appareils a également été jugé trop lent par le même rapport, ne permettant pas de pallier les besoins existants. Face à ce constat, la Fédération nationale des pompiers de France estime qu'il est urgent de renforcer ces moyens par le biais de locations, financées par l'État, d'hélicoptères bombardier d'eau (HBE) ou d'avions bombardier d'eau (ABE). Les troupes mobilisées sans relâche s'épuisent, faute de personnels qualifiés pour piloter ces appareils ou combattre le feu au sol. Depuis 2012, leurs effectifs sont en constante baisse, obligeant les SDIS à mobiliser les pompiers volontaires de la France entière, comme en Gironde où des sapeurs-pompiers ardennais sont venus en renfort. Dans ce contexte marqué par l'intensification du réchauffement climatique et par le manque criant de moyens humains et matériels, il souhaite connaître les mesures envisagées par le Gouvernement pour soutenir le volontariat, clé de voûte du système de sécurité civile français, accélérer le recrutement des sapeurs-pompiers professionnels et renforcer la lutte aérienne contre les incendies.|appeler intérieur outre-mer nécessaire augmentation moyen allouer lutte contre incendie cours mois juin juillet 2022 millier hectare brûler ensemble territoire national Gironde Provence territoire auparavant épargner instar bretagne Savoie Manche ardenne moyen aérien sécurité civil outil stratégique essentiel gérer crise venir bout foyer difficile voire impossible accès route rapport commission finance Sénat récemment insister nécessaire renforcement moyen aérien sécurité civil dash Canadairs actuellement immobiliser sol défaut mécanique entretien appareil 25 an remettre neuf coût réparation manque pièce détacher rachat appareil juger trop lent rapport pallier besoin existant face constat fédération national pompier France estime urgent renforcer moyen biais location financer état hélicoptère bombardier eau hbe avion bombardier eau abe troupe mobiliser relâche épuiser faute personnel qualifié piloter appareil combattre feu sol 2012 effectif constant baiss obliger sdi mobiliser pompier volontaire France entier Gironde sapeur pompier ardennais venir renfort contexte marquer intensification réchauffement climatique manque crier moyen humain matériel souhaiter connaître mesure envisager gouvernement soutenir volontariat clé voûte système sécurité civil français accélérer recrutement sapeur pompier professionnel renforcer lutte aérien contre incendie
581|Rassemblement National|M. Bruno Bilde|Intérieur et outre-mer|sécurité des biens et des personnes|Sur les conditions de sécurité des futurs jeux Olympiques de Paris|02/08/2022|M. Bruno Bilde interroge M. le ministre de l'intérieur et des outre-mer sur les conditions de sécurité des futurs jeux Olympiques qui auront lieu à Paris en 2024. 13 millions de spectateurs et 4 milliards de téléspectateurs assisteront ou visionneront ce qui est considéré comme le premier évènement mondial. Dans un rapport qui devrait être rendu public à la fin de l'année 2022, la Cour des comptes soulève le retard pris dans l'organisation de l'évènement, ce qui entacherait à la fois l'image de l'institution olympique et celle de la France. La Cour des comptes prévient qu'il est « impératif » d'accélérer la cadence et pointe du doigt un « défi sécuritaire considérable » ainsi que des menaces protéiformes ». La cour alerte ainsi sur les risques majeurs en matière de sécurité, tant pour les jeux Olympiques eux-mêmes que pour la cérémonie d'ouverture, alors que la sécurité des athlètes et des spectateurs doit être la priorité absolue. Le Gouvernement semble tâtonner sur ce dossier majeur alors que l'on sait que la France et les jeux Olympiques sont des cibles privilégiées pour les terroristes. Tout incident significatif qui adviendrait à l'occasion de cet évènement mondial de premier plan mettant en péril la sécurité des spectateurs ou des athlètes ternira de manière durable l'image de la France. Le récent fiasco de la finale de la League des champions de football au stade de France fait malheureusement craindre le pire quant à la sécurité d'un évènement hors norme tel que les jeux 0lympiques. Il l'appelle à tirer les leçons du fiasco sécuritaire de la finale de la League des champions au stade de France et lui demande quelles dispositions il compte mettre en place pour garantir la sécurité des jeux Olympiques de 2024.|interroger intérieur outre-mer condition sécurité futur jeu Olympiques lieu Paris 2024 13 million spectateur 4 milliard téléspectateur assister visionner considérer évènement mondial rapport devoir public fin année 2022 cour compte soulever retard prendre organisation évènement entacher fois image institution olympique France cour compte prévenir impératif accélérer cadence pointe doigt défi sécuritaire considérable menace protéiforme cour alerte risque majeur matière sécurité jeu Olympiques cérémonie ouverture sécurité athlète spectateur devoir priorité absolu gouvernement sembler tâtonner dossier majeur savoir France jeu Olympiques cible privilégier terroriste incident significatif advenir occasion évènement mondial plan mettre péril sécurité spectateur athlète ternira manière durable image France récent fiasco finale league champion football stade France malheureusement craindre pire sécurité évènement norm jeu 0lympique appeler tirer leçon fiasco sécuritaire finale league champion stade France disposition compte mettre place garantir sécurité jeu Olympiques 2024
582|Rassemblement National|M. Timothée Houssin|Intérieur et outre-mer|sécurité routière|Pénurie d'inspecteur du permis de conduire et ses conséquences|02/08/2022|M. Timothée Houssin appelle l'attention de M. le ministre de l'intérieur et des outre-mer sur la pénurie d'inspecteur du permis de conduire et ses conséquences. Les délais pour passer l'examen du permis de conduire s'allongent. En particulier, pour les candidats ayant échoué à un premier examen, la possibilité de passer à nouveau le permis de conduire nécessite dans nombre de territoires plus de 6 mois d'attente. Cette situation a des conséquences lourdes pour les candidats et parfois pour leur famille, en particulier dans la ruralité où la voiture est indispensable aux déplacements. Ces délais empêchent l'insertion sociale et professionnelle pour des personnes qui, faute d'obtention du permis et de possibilité de se déplacer, renoncent à des études ou à un emploi. Souvent, il s'agit de jeunes adultes que cet obstacle entraîne dans une spirale de précarité. La problématique entraînant ces délais excessifs est le manque d'inspecteurs du permis de conduire dans certains territoires. Aussi, M. le député demande quelles mesures le Gouvernement compte mettre en place pour mettre fin à cette problématique ? Il lui demande si le Gouvernement compte recruter et former rapidement davantage d'inspecteurs du permis de conduire, en particulier dans les zones rurales les plus touchées par la pénurie d'inspecteurs et où la voiture est indispensable à l'accès au travail et aux études.|appeler intérieur outre-mer pénurie inspecteur permis conduire conséquence délai passer examen permis conduire allonger particulier candidat échouer examen possibilité passer conduire nécessite territoire 6 mois attente conséquence lourd candidat famille particulier ruralité voiture indispensable déplacement délai empêcher insertion social professionnel faute obtention permis possibilité déplacer renoncer étude emploi agir jeune adulte obstacle entraîn spirale précarité problématique entraîner délai excessif manque inspecteur permis conduire territoire député mesure gouvernement compte mettre place mettre fin problématique gouvernement compte recruter former rapidement davantage inspecteur permis conduire particulier zone rural toucher pénurie inspecteur voiture indispensable accès travail étude
583|Gauche démocrate et républicaine - NUPES|M. Yannick Monnet|Transformation et fonction publiques|services publics|Conséquences de la fermeture des trésoreries|02/08/2022|M. Yannick Monnet attire l'attention de M. le ministre de la transformation et de la fonction publiques sur les conséquences de la fermeture des trésoreries et centres de finances publiques notamment en matière de traitement des opérations et de délai de mise en paiement. En effet, dans le cadre de la réorganisation des services des directions départementales des finances publiques, il a été décidé de fermer la plupart des trésoreries de proximité et des centres de finances publiques. Ainsi dans un département comme l'Allier, la quasi-totalité des trésoreries ont baissé rideau en quelques mois. Depuis, les maires et secrétaires de mairie n'ont de cesse d'alerter sur les conséquences très négatives de cette réforme dans la gestion de leurs opérations comptables avec une durée excessive dans le traitement des opérations et le dépassement des délais de paiement des fournisseurs. Il revient alors aux élus la délicate tâche de répondre aux relances des entreprises concernées et de tenter d'expliquer tant bien que mal ces retards. À travers la commande publique, les mairies sont des donneurs d'ordre importants pour l'économie locale, a fortiori en cette période incertaine marquée par différentes crises. Présentée comme très opérationnelle et indispensable à la modernisation de l'action publique, cette réforme est en réalité vécue comme un fiasco et beaucoup dénoncent un nouveau démantèlement du service public au détriment du service rendu à l'usager. Il lui demande quelle est sa position sur cette question et quelles sont les moyens nécessaires que le Gouvernement compte mettre en œuvre rapidement pour répondre aux graves difficultés rencontrées actuellement par les usagers et les collectivités.|transformation fonction public conséquence fermeture trésorerie centre finance public matière traitement opération délai mise paiement cadre réorganisation service direction départemental finance public décider fermer plupart trésorerie proximité centre finance public département Allier quasi-totalité trésorerie baisser rideau mois maire secrétaire mairie cesse alerter conséquence négatif réforme gestion opération comptable durée excessif traitement opération dépassement délai paiement fournisseur revenir élu délicat tâche répondre relance entreprise tenter expliquer bien mal retard travers commande public mairie donneur ordre important économie local fortiori période incertain marquer crise présenter opérationnel indispensable modernisation action public réforme réalité vivre fiasco beaucoup dénoncer démantèlement service public détriment service usager quell position question moyen nécessaire gouvernement compte mettre œuvre rapidement répondre grave difficulté rencontrer actuellement usager collectivité
584|Rassemblement National|M. Thierry Frappé|Sports, jeux Olympiques et Paralympiques|sports|Billetterie offerte pour les J.O.|02/08/2022|M. Thierry Frappé appelle l'attention de Mme la ministre des sports et des jeux Olympiques et Paralympiques sur les J.O. de 2024. En effet, le Président de la République a annoncé que l'État achètera 400 000 billets dans le but de les distribuer aux jeunes et scolaires, surtout les moins de 16 ans ; à des bénévoles qui contribuent aux jeux et au sport en France ; aux personnes en situation de handicap, à leurs aidants et aux fonctionnaires de l'État et des collectivités qui aident à ces jeux, particulièrement les catégories B et C. Cette billetterie populaire est une très bonne nouvelle. Cependant, ce dispositif semble sous-dimensionné lorsqu'on connaît le nombre des publics visés. Également, le risque est de créer des différences au sein même des écoles, des clubs sportifs ou plus largement des publics cibles. La question de la juste répartition de ces billets est essentielle et ce sur l'ensemble du territoire national afin de ne pas diviser. Sans remettre en cause ce dispositif, il lui demande de bien vouloir lui indiquer les modalités de répartition de ces billets sur le territoire national et notamment dans les choix de répartition.|appeler sport jeu Olympiques paralympique j.o. 2024 président république annoncer état acheter 400 000 billet but distribuer jeune scolaire 16 an bénévole contribuer jeu sport France handicap aidant fonctionnaire état collectivité aider jeu particulièrement catégorie b C. billetterie populaire bon sembler sous-dimensionné connaître public viser risque créer différence sein école club sportif largement public cible question répartition billet essentiel ensemble territoire national diviser remettre cause bien vouloir indiquer modalité répartition billet territoire national choix répartition
585|Les Républicains|Mme Michèle Tabarot|Économie, finances, souveraineté industrielle et numérique|taxe sur la valeur ajoutée|Secteur des arômes - Taux de TVA différenciés|02/08/2022|Mme Michèle Tabarot appelle l'attention de M. le ministre de l'économie, des finances et de la souveraineté industrielle et numérique sur les difficultés rencontrées par les entreprises du secteur des arômes pour l'application de nouvelles dispositions issues de la loi n° 2021-1900 du 30 décembre 2021 de finances pour 2022. L'article 30 de cette loi a en effet modifié les taux de TVA applicables dans le secteur agroalimentaire, quelles que soient les étapes de leurs productions. Ainsi un taux de TVA de 5,5 % est applicable sur les produits à destination de l'alimentation humaine alors qu'un taux de 10 % est prévu pour ceux qui sont destinés à l'alimentation animale. Par ailleurs la TVA est de 20 % pour les arômes à destination du secteur des médicaments. Pour les entreprises du secteur des arômes ce dispositif est difficile à appliquer. En effet, les clients ne font pas nécessairement part des usages finaux et, par ailleurs, elles sont nombreuses à vendre à des distributeurs. Au regard de ces éléments, elle souhaiterait qu'il puisse lui préciser les mesures qu'il pourrait prendre afin de faciliter la mise en œuvre de ces dispositions.|appeler économie finance souveraineté industriel numérique difficulté rencontrer entreprise secteur arôme application disposition issu loi numéro 2021 1900 30 décembre 2021 finance 2022 article 30 loi modifier taux tva applicable secteur agroalimentaire étape production taux tva 5,5 applicable produit destination alimentation humain taux 10 prévoir destiner alimentation animal tva 20 arôme destination secteur médicament entreprise secteur arôme difficile appliquer client nécessairemer usage final vendre distributeur regard élément souhaiter préciser mesure prendre faciliter mise œuvre disposition
586|Renaissance|Mme Michèle Peyron|Transition numérique et télécommunications|télécommunications|La guerre des opérateurs dans l'accès à internet et au raccordement à la fibre|02/08/2022|Mme Michèle Peyron appelle l'attention de M. le ministre délégué auprès du ministre de l'économie, des finances et de la souveraineté industrielle et numérique, chargé de la transition numérique et des télécommunications au sujet du déploiement de la fibre en Seine-et-Marne et des comportements problématiques de certains opérateurs téléphoniques dans le raccordement au réseau internet. Dans plusieurs communes de sa circonscription et notamment à Combs-la-Ville, les habitants font face à des débranchements intempestifs de leur ligne. En effet, il semblerait que ces opérateurs se mènent une véritable « guerre » dans le raccordement au réseau internet en débranchant notamment les lignes de leurs concurrents. Ce constat fut également partagé par la présidente de l'Autorité de régulation des communications électroniques, des postes et de la distribution de la presse lors d'un déplacement au sein de l'agglomération Grand Paris Sud dont Combs-la-Ville fait partie. Si le raccordement des habitations est placé sous la responsabilité de l'opérateur commercial, celui-ci est bien souvent délégué à de nombreux sous-traitants. Ces débranchements entravent donc le bon développement du plan France Très Haut Débit dont les objectifs sont notamment de garantir le bon haut débit pour tous d'ici la fin 2020 et le très haut débit pour tous d'ici la fin 2022. Aussi, elle souhaiterait connaître l'avancée du déploiement de la fibre en Seine-et-Marne et savoir si le Gouvernement a engagé des discussions avec les opérateurs téléphoniques afin que ces pratiques n'aient plus lieu.|appeler déléguer auprès économie finance souveraineté industriel numérique charger transition numérique télécommunications sujet déploiement fibre Seine-et-Marne comportement problématique opérateur téléphonique raccordement réseau internet commune circonscription Combs-la-Ville habitant face débranchement intempestif ligne sembler opérateur mener véritable guerre raccordement réseau internet débranchant ligne concurrent constat partager président autorité régulation communication électronique poste distribution presse déplacement sein agglomération grand Paris Sud Combs-la-Ville partie raccordement habitation placer sou responsabilité opérateur commercial bien déléguer sous-traitant débranchement entraver bon développement plan France haut Débit objectif garantir bon haut débit ici fin 2020 haut débit ici fin 2022 souhaiter connaître avancer déploiement fibre Seine-et-Marne savoir gouvernement engager discussion opérateur téléphonique pratique lieu
587|Horizons et apparentés|M. Jean-François Portarrieu|Petites et moyennes entreprises, commerce, artisanat et tourisme|tourisme et loisirs|Mise en place d'une politique culturelle du tourisme|02/08/2022|M. Jean-François Portarrieu attire l'attention de Mme la ministre déléguée auprès du ministre de l'économie, des finances et de la souveraineté industrielle et numérique, chargée des petites et moyennes entreprises, du commerce, de l'artisanat et du tourisme sur les propositions de Jean Viard et David Medioni pour repenser la façon de voyager. Dans un récent ouvrage publié par la Fondation Jean-Jaurès, les deux auteurs, considérant que le tourisme a été largement paralysé par les années de pandémie, estiment que la crise sanitaire a ramené la France à « L'an zéro du tourisme », titre de l'ouvrage. Après avoir rappelé que le secteur des loisirs est au cœur du lien social tout en étant un moteur majeur de l'économie, ils appellent la mise en place d'une politique culturelle du tourisme qui recouvre une philosophie de l'accueil et de l'hospitalité. Selon eux, le tourisme ne peut plus être simplement considéré comme la gestion d'un flux de voyageurs qu'il faut accroître à tout prix. Jean Viard et David Medioni évoquent ainsi une perspective qui associe voyage, vacances et loisirs, qui encourage les rencontres, la curiosité, la connaissance, en s'appuyant sur l'art de vivre et l'expérience de la découverte. Il souhaiterait connaître sa position et savoir si des études ont été engagées ou conduites sur les nouvelles formes de tourisme.|déléguer auprès économie finance souveraineté industriel numérique charger petit moyenne entreprise commerce artisanat tourisme proposition Jean Viard David Medioni repenser voyager récent ouvrage publier fondation Jean-Jaurès auteur considérer tourisme largement paralyser année pandémie estimer crise sanitaire ramener France an zéro tourisme titre ouvrage rappeler secteur loisir cœur lien social moteur majeur économie appeler mise place politique culturel tourisme recouvrir philosophie accueil hospitalité tourisme simplement considérer gestion flux voyageur falloir accroître prix Jean Viard David Medioni évoquer perspective associer voyage vacance loisir encourager rencontre curiosité connaissance appuyer art vivre expérience découverte souhaiter connaître position savoir étude engager conduire forme tourisme
588|Démocrate (MoDem et Indépendants)|Mme Maud Petit|Éducation nationale et jeunesse|tourisme et loisirs|Pénurie d'animateurs dans les centres de loisirs et les colonies de vacances|02/08/2022|Mme Maud Petit alerte M. le ministre de l'éducation nationale et de la jeunesse sur la pénurie d'animateurs dans les centres de loisirs et les colonies de vacances. L'été, saison privilégiée par la jeunesse, est devenue cette année, le casse-tête des parents et des municipalités. En effet, les centres de loisirs et les colonies de vacances ne parviennent plus à recruter suffisamment d'animateurs. La crise sanitaire a eu un effet catastrophique sur ce secteur, réduisant drastiquement le nombre de BAFA et de BAFD délivrés. Selon les chiffres de l'INJEP, cette diminution représentait 22 % sur la période 2019 - 2020. Cependant, cette tendance est antérieure à la crise covid ; ainsi, entre 2016 et 2019, le taux de BAFA et BAFD obtenus a accusé une baisse de 28 %, ayant comme conséquences directe une baisse de 50 % des séjours organisés par les colonies de vacances entre 2019 et 2020. En 2022, les collectivités locales subissent de plein fouet cette baisse de diplômés. Un grand nombre de centres de loisirs communaux ont restreint leur accueil, en raison d'un manque de personnels. En conséquence, les parents se retrouvent sans mode de garde et sans activité pour leurs enfants. ellel l'interroge donc sur les moyens envisagés par le Gouvernement pour palier rapidement ce manque d'animateurs.|alerte éducation national jeunesse pénurie animateur centre loisir colonie vacance saison privilégier jeunesse devenir année casse-tête parent municipalité centre loisir colonie vacance parvenir recruter suffisamment animateur crise sanitaire catastrophique secteur réduire drastiquemer bafa BAFD délivrer chiffre injep diminution représenter 22 période 2019 2020 tendance crise covid entrer 2016 2019 taux bafa BAFD obtenir accuser baisse 28 conséquence direct baisse 50 séjour organiser colonie vacance entrer 2019 2020 2022 collectivité local subir plein fouet baisse diplômé grand centre loisir communal restreindre accueil raison manque personnel conséquence parent retrouver mode garde activité enfant ellel interroge moyen envisager gouvernement palier rapidement manque animateur
589|Rassemblement National|M. Julien Rancoule|Petites et moyennes entreprises, commerce, artisanat et tourisme|tourisme et loisirs|Préservation des activités en eaux vives dans l'Aude|02/08/2022|M. Julien Rancoule attire l'attention de Mme la ministre déléguée auprès du ministre de l'économie, des finances et de la souveraineté industrielle et numérique, chargée des petites et moyennes entreprises, du commerce, de l'artisanat et du tourisme, sur la situation préoccupante des professionnels des sports en eaux vives de l'Aude. Au mois de mai 2022, la préfecture avait informé ces acteurs du tourisme que la convention « eaux vives » vieille de 22 ans n'était pas reconduite et qu'ils ne bénéficieront pas des lâchers d'eau nécessaires pour exercer leur activité dans de bonnes conditions ce printemps. M. le préfet leur avait cependant garanti que les lâchers auraient bien lieu durant la période estivale de juillet et août. Malgré cet engagement du représentant de l'État, ils ont appris le 30 juin 2022 qu'ils ne bénéficieront finalement pas des débits nécessaires pour pratiquer leur activité phare qu'est le rafting à compter du 1er juillet 2022. Après avoir sollicité une réunion avec l'ensemble des acteurs concernés, aucune solution n'a à ce jour été apportée. Cette activité économique et touristique emploie une centaine de personnes, pour un chiffre d'affaires de plus de deux millions d'euros annuels et plus de six millions d'euros de retombées indirectes dans un territoire sinistré économiquement, avec des taux de pauvreté et de chômage déjà bien supérieurs à la moyenne nationale. Pour préserver cette activité majeure du tourisme audois, des solutions à très court terme doivent être apportées telles qu'une optimisation des heures des lâchers d'eau, ou à défaut, des mécanismes de compensation financière. À moyen terme, une nouvelle convention doit être discutée pour les saisons à venir et, le cas échéant, des aides doivent être débloquées afin que ces professionnels puissent investir dans du matériel mieux adapté aux nouvelles conditions. Il lui demande donc si les services de l'État vont prendre des mesures d'urgence afin de préserver ces activités indispensables pour l'attractivité touristique du territoire.|déléguer auprès économie finance souveraineté industriel numérique charger petit moyenne entreprise commerce artisanat tourisme préoccupant professionnel sport eau vif Aude mois mai 2022 préfecture informer acteur tourisme convention   eau vivre   vieux 22 an reconduire bénéficier lâcher eau nécessaire exercer activité bon condition printemps préfet garanti lâcher bien lieu durer période estival juillet août engagement représentant état apprendre 30 juin 2022 bénéficier finalement débit nécessaire pratiquer activité phare rafting compter juillet 2022 sollicité réunion ensemble acteur aucun solution apporter activité économique touristique employer centaine chiffre affaire million euro annuel million euro retombée indirect territoire sinistrer économiquement taux pauvreté chômage bien supérieur moyenne national préserver activité majeur tourisme audois solution court terme devoir apporter optimisation heure lâcher eau défaut mécanisme compensation financier moyen terme convention devoir discuter saison venir échoir aide devoir débloquer professionnel investir matériel mieux adapter condition service état aller prendre mesure urgence préserver activité indispensable attractivité touristique territoire
590|Rassemblement National|M. Nicolas Meizonnet|Europe et affaires étrangères|transports aériens|Accord ciel ouvert avec le Qatar : attention au risque de concurrence déloyale !|02/08/2022|M. Nicolas Meizonnet attire l'attention de Mme la ministre de l'Europe et des affaires étrangères au sujet de l'accord récent concernant les services aériens entre le Qatar d'une part et l'Union européenne et ses membres d'autre part. Il s'inquiète de la signature le 18 octobre 2021 d'un tel accord de libre-échange qui risque de désavantager considérablement les compagnies aériennes françaises et européennes dans le cadre d'une ouverture progressive et illimitée des droits de trafic entre les signataires. En effet, il existe un déséquilibre certain dans cet accord compte tenu de la faiblesse du marché qatari par rapport à celui bien plus avantageux offert par l'Union européenne (3 millions d'habitants contre 447 millions). Il souligne qu'une réciprocité équitable n'est pas, dans ces conditions, clairement assurée et que les compagnies européennes n'ont aucun intérêt à augmenter leurs capacités au Qatar. Il précise que la direction d'Air France-KLM « regrette la signature de cet accord qui est de nature à renforcer la situation concurrentielle au départ de la France et des Pays-Bas à un moment où la crise du covid impacte toujours fortement son activité ». Par ailleurs, il relève, s'agissant de l'activité cargo, que ce contrat offre à Qatar Airways un droit de cinquième liberté qui lui permet d'effectuer des transports de fret entre l'UE et n'importe quel pays tiers, ce qui évidemment profitera en premier lieu à la compagnie qatarie. Il redoute également que les obligations sociales et concurrentielles imposées en contrepartie ne soient pas, en l'absence de mesures coercitives, respectées par un pays appliquant des conditions d'emploi rétrogrades et bénéficiant largement de subventions étatiques. Aussi, il demande si cet accord, qui est entré en vigueur, il le déplore, dès sa signature et avant même sa ratification par les parlements nationaux, ne constitue pas une concurrence déloyale qui à terme peut s'avérer mortifère pour les compagnies aériennes.|Europe affaire étranger sujet accord récent service aérien entrer Qatar Union européen membre inquiéter signature 18 octobre 2021 accord libre échange risque désavantager considérablement compagnie aérien français européen cadre ouverture progressif illimiter droit trafic entrer signataire exister déséquilibre accord compte faiblesse marché qatari rapport bien avantageux offrir Union européen 3 million habitant contre 447 million souligner réciprocité équitable condition clairement assurer compagnie européen aucun intérêt augmenter capacité Qatar préciser direction Air France KLM regretter signature accord nature renforcer concurrentiel départ France Pays Bas moment crise covid impact fortement activité relever agir activité cargo contrat offrir Qatar Airways droit liberté effectuer transport fret entrer UE importer pays tiers évidemment profiter lieu compagnie qatari redoute obligation social concurrentielle imposer contrepartie absence mesure coercitif respecter pays appliquer condition emploi rétrograde bénéficier largement subvention étatique accord entrer vigueur déplore signature ratification parlement national constituer concurrence déloyal terme avérer mortifère compagnie aérien
591|Rassemblement National|M. Nicolas Meizonnet|Transports|transports ferroviaires|Abonnement « TGV Max » : la SNCF doit la clarté à ses usagers !|02/08/2022|M. Nicolas Meizonnet alerte M. le ministre délégué auprès du ministre de la transition écologique et de la cohésion des territoires, chargé des transports, sur la situation des abonnés SNCF « TGV Max ». Alerté par de nombreux utilisateurs ainsi que par l'association « 1Max2Trains », il constate le sentiment d'incompréhension des usagers face à l'évolution plus que négative de leur abonnement. L'abonnement « TGV Max » prévoit, selon le message commercial, « des trains illimités pour 79 euros par mois ». Mais dans les faits, les conditions générales de vente sont plus vagues. Elles annoncent en effet une offre limitée en « périodes d'affluence », qui étaient jusqu'alors les grands départs en vacances et les ponts. Cependant, M. le député constate que depuis les conditions générales de vente du 27 septembre 2021, tous les vendredis, les samedis et les dimanches sont inclus dans les périodes « d'affluence », rendant l'utilisation de cet abonnement beaucoup plus compliquée pour les utilisateurs. De plus, la nouvelle politique commerciale de la SNCF de réduire le nombre de TGV Inoui et des trains Intercités au profit des Ouigo, auxquels l'abonnement « TGV Max » ne donne pas accès et qui réduit considérablement les possibilités de voyage, ne permet plus à la SNCF d'honorer sa promesse initiale de voyager en illimité. D'après son constat auprès de nombreux abonnés, M. le député note qu'une grande partie des usagers « TGV Max » sont des étudiants, l'abonnement étant réservé aux 16-27 ans, qui alternent entre semaine dans une ville pour leurs études et week-end auprès de leur famille dans une autre ville. Aujourd'hui, avec une offre qui ne se limite presque plus qu'aux mardis et mercredis pour certaines lignes, l'abonnement est devenu quasiment inutilisable pour de nombreux trajets. Cet abonnement, l'un des plus onéreux que propose la SNCF puisqu'il s'élève à 948 euros par an, devient donc de moins en moins rentable pour les titulaires qui doivent régulièrement se résigner à acheter un billet au tarif très élevé qu'impose la « dernière minute ». M. le député constate également l'opacité qui règne sur le système d'attribution des places « TGV Max » sur les trains, système qualifié d'« algorithmique » par le service client de la SNCF et qui est censé ajuster le nombre de places en fonction de la demande. Malgré cela, M. le député a pu constater que des trains dans lesquels aucune place « TGV Max » n'était proposée avant départ partaient avec de nombreuses places vides. Il constate également que des places étaient rendues disponibles quelques minutes avant le départ, ce qui ne laisse pas la possibilité à un usager de prendre le train, à moins que celui-ci décide d'attendre toute la journée, au petit bonheur, qu'un train se libère. Enfin, M. le député constate que malgré une offre de places « TGV Max » déclinante, le nombre d'abonnés semble être en hausse et les campagnes de promotion de l'abonnement, notamment « premier mois à 1 euro », demeurent régulières. M. le député s'interroge également sur la pertinence d'avoir ouvert un abonnement similaire à destination des seniors, « Max Seniors », alors que la SNCF peine à honorer l'offre existante. À la lumière de ces éléments, M. le député demande au ministre d'agir auprès de la SNCF afin que le système d'attribution des places « TGV Max » par train soit clairement identifiable et compréhensible par les usagers, en exigeant, par exemple, que la SNCF indique à 35 jours du départ le nombre de places qui seront éligibles à J-31 (jour de l'ouverture à la vente des places « TGV Max »). Il demande au ministre d'exiger que la SNCF s'engage à fixer un minimum de places disponibles par ligne à forte demande (Paris - grandes villes par exemple), minimum qui évoluera avec le nombre d'abonnés « TGV Max ». Il lui demande également s'il envisage de presser la SNCF à revoir les nouvelles « CGV », notamment les points ne permettant pas de diviser un trajet ou le non-report d'un trajet « TGV Max » sur un trajet ultérieur en cas d'annulation ou de retard d'un train.|alerte déléguer auprès transition écologique cohésion territoire charger transport abonné sncf tgv Max alerter utilisateur association 1Max2Trains constater sentiment incompréhension usager face évolution négative abonnement abonnemer tgv max prévoit message commercial train illimiter 79 euro mois condition général vente vague annoncer offre limité période affluence grand départ vacance pont député constater condition général vente 27 septembre 2021 vendredi samedi dimanche inclus période affluence utilisation abonnemer beaucoup compliqué utilisateur politique commercial sncf réduire tgv inoui train intercité profit ouigo abonnemer tgv Max donne accès réduire considérablement possibilité voyage sncf honorer promesse initial voyager illimité constat auprès abonné député note grand partie usager tgv Max étudiant abonnemer réserver 16 27 an alterner entrer semaine ville étude week end auprès famille ville offre limite presque mardi mercredi ligne abonnemer devenir quasiment inutilisable trajet abonnemer onéreux proposer sncf élever 948 euro an devenir rentable titulaire devoir régulièrement résigner acheter billet tarif élevé imposer minute député constater opacité régner système attribution place tgv Max train système qualifier d algorithmique service client sncf censé ajuster place fonction celer député constater train aucun place tgv Max proposer départ partaient place vide constater place disponible minute départ laisse possibilité usager prendre train décider attendre journée petit bonheur train libérer député constater offre place tgv Max déclinant abonné sembler hausse campagne promotion abonnement mois 1 euro demeurer régulier député interroger pertinence ouvrir abonnement similaire destination senior Max Seniors sncf peine honorer offre existant lumière élément député agir auprès sncf système attribution place tgv Max train clairement identifiable compréhensible usager exiger exemple sncf indique 35 départ place éligible J-31 ouverture vente place tgv Max exiger sncf engager fixer minimum place disponible ligne fort Paris grand ville exemple minimum évoluer abonné tgv Max envisager presser sncf revoir cgv point diviser trajet non-report trajet tgv Max trajet ultérieur annulation retard train
